2020-04-27 23:04:17 INFO  BrowserSelector :21 - Chrome Browser Selected
2020-04-27 23:04:440 INFO  BrowserSelector :21 - Chrome Browser Selected
2020-04-27 23:04:565 INFO  BrowserSelector :21 - Chrome Browser Selected
2020-04-27 23:04:316 INFO  HomePage :35 -  Click on BankManagerLogin tab: Proxy element for: DefaultElementLocator 'By.xpath: //button[contains(text(),'Bank Manager Login')]'
2020-04-27 23:04:594 INFO  BankManagerLoginPage :26 -  Click on AddCustomer tab: [[ChromeDriver: chrome on WINDOWS (b890db43a8ad0916c2a3d34409299f16)] -> xpath: //button[contains(text(),'Add Customer')]]
2020-04-27 23:04:44 INFO  AddCustomerPage :30 -  Enter first name: Snape75 in the field [[ChromeDriver: chrome on WINDOWS (b890db43a8ad0916c2a3d34409299f16)] -> xpath: //input[@placeholder='First Name']]
2020-04-27 23:04:274 INFO  AddCustomerPage :37 -  Enter last name: Snape in the field [[ChromeDriver: chrome on WINDOWS (b890db43a8ad0916c2a3d34409299f16)] -> xpath: //input[@placeholder='Last Name']]
2020-04-27 23:04:506 INFO  AddCustomerPage :44 -  Enter postcode: HG3 14WB in the field [[ChromeDriver: chrome on WINDOWS (b890db43a8ad0916c2a3d34409299f16)] -> xpath: //input[@placeholder='Post Code']]
2020-04-27 23:04:647 INFO  BankManagerLoginPage :26 -  Click on AddCustomer tab: [[ChromeDriver: chrome on WINDOWS (b890db43a8ad0916c2a3d34409299f16)] -> xpath: //button[contains(text(),'Add Customer')]]
2020-04-27 23:04:451 INFO  AddCustomerPage :55 -  Click on AddCustomer button: [[ChromeDriver: chrome on WINDOWS (b890db43a8ad0916c2a3d34409299f16)] -> css selector: button.btn.btn-default]
2020-04-27 23:04:657 INFO  BankManagerLoginPage :33 -  Click on OpenAccount tab: [[ChromeDriver: chrome on WINDOWS (b890db43a8ad0916c2a3d34409299f16)] -> xpath: //button[contains(text(),'Open Account')]]
2020-04-27 23:04:672 INFO  BrowserSelector :21 - Chrome Browser Selected
2020-04-27 23:04:851 INFO  HomePage :35 -  Click on BankManagerLogin tab: [[ChromeDriver: chrome on WINDOWS (7226d9c0205c8e81fcaac46fe088f026)] -> xpath: //button[contains(text(),'Bank Manager Login')]]
2020-04-27 23:04:218 INFO  BankManagerLoginPage :26 -  Click on AddCustomer tab: [[ChromeDriver: chrome on WINDOWS (7226d9c0205c8e81fcaac46fe088f026)] -> xpath: //button[contains(text(),'Add Customer')]]
2020-04-27 23:04:582 INFO  AddCustomerPage :30 -  Enter first name: Snape06 in the field [[ChromeDriver: chrome on WINDOWS (7226d9c0205c8e81fcaac46fe088f026)] -> xpath: //input[@placeholder='First Name']]
2020-04-27 23:04:781 INFO  AddCustomerPage :37 -  Enter last name: Snape in the field [[ChromeDriver: chrome on WINDOWS (7226d9c0205c8e81fcaac46fe088f026)] -> xpath: //input[@placeholder='Last Name']]
2020-04-27 23:04:18 INFO  AddCustomerPage :44 -  Enter postcode: HG3 14WB in the field [[ChromeDriver: chrome on WINDOWS (7226d9c0205c8e81fcaac46fe088f026)] -> xpath: //input[@placeholder='Post Code']]
2020-04-27 23:04:200 INFO  BankManagerLoginPage :26 -  Click on AddCustomer tab: [[ChromeDriver: chrome on WINDOWS (7226d9c0205c8e81fcaac46fe088f026)] -> xpath: //button[contains(text(),'Add Customer')]]
2020-04-27 23:04:546 INFO  AddCustomerPage :55 -  Click on AddCustomer button: [[ChromeDriver: chrome on WINDOWS (7226d9c0205c8e81fcaac46fe088f026)] -> css selector: button.btn.btn-default]
2020-04-27 23:04:736 INFO  BankManagerLoginPage :40 -  Click on Customer tab: [[ChromeDriver: chrome on WINDOWS (7226d9c0205c8e81fcaac46fe088f026)] -> xpath: //button[contains(text(),'Customers')]]
2020-04-27 23:04:618 INFO  CustomersPage :23 -  Seacrch CustomerName: Severus in the field [[ChromeDriver: chrome on WINDOWS (7226d9c0205c8e81fcaac46fe088f026)] -> xpath: //input[@placeholder='Search Customer']]
2020-04-27 23:04:116 INFO  BrowserSelector :21 - Chrome Browser Selected
2020-04-27 23:04:346 INFO  HomePage :35 -  Click on BankManagerLogin tab: [[ChromeDriver: chrome on WINDOWS (eb75dfa228f1101359a949418d453dd8)] -> xpath: //button[contains(text(),'Bank Manager Login')]]
2020-04-27 23:04:956 INFO  BankManagerLoginPage :26 -  Click on AddCustomer tab: [[ChromeDriver: chrome on WINDOWS (eb75dfa228f1101359a949418d453dd8)] -> xpath: //button[contains(text(),'Add Customer')]]
2020-04-27 23:04:537 INFO  AddCustomerPage :30 -  Enter first name: Severus56 in the field [[ChromeDriver: chrome on WINDOWS (eb75dfa228f1101359a949418d453dd8)] -> xpath: //input[@placeholder='First Name']]
2020-04-27 23:04:777 INFO  AddCustomerPage :37 -  Enter last name: Snape in the field [[ChromeDriver: chrome on WINDOWS (eb75dfa228f1101359a949418d453dd8)] -> xpath: //input[@placeholder='Last Name']]
2020-04-27 23:04:72 INFO  AddCustomerPage :44 -  Enter postcode: HG3 14WB in the field [[ChromeDriver: chrome on WINDOWS (eb75dfa228f1101359a949418d453dd8)] -> xpath: //input[@placeholder='Post Code']]
2020-04-27 23:04:226 INFO  BankManagerLoginPage :26 -  Click on AddCustomer tab: [[ChromeDriver: chrome on WINDOWS (eb75dfa228f1101359a949418d453dd8)] -> xpath: //button[contains(text(),'Add Customer')]]
2020-04-27 23:04:621 INFO  AddCustomerPage :55 -  Click on AddCustomer button: [[ChromeDriver: chrome on WINDOWS (eb75dfa228f1101359a949418d453dd8)] -> css selector: button.btn.btn-default]
2020-04-27 23:04:828 INFO  BankManagerLoginPage :33 -  Click on OpenAccount tab: [[ChromeDriver: chrome on WINDOWS (eb75dfa228f1101359a949418d453dd8)] -> xpath: //button[contains(text(),'Open Account')]]
2020-04-27 23:04:670 INFO  BrowserSelector :21 - Chrome Browser Selected
2020-04-27 23:04:936 INFO  HomePage :35 -  Click on BankManagerLogin tab: [[ChromeDriver: chrome on WINDOWS (60e0cb59aabb66b08845ba2dc21844bf)] -> xpath: //button[contains(text(),'Bank Manager Login')]]
2020-04-27 23:04:194 INFO  BankManagerLoginPage :26 -  Click on AddCustomer tab: [[ChromeDriver: chrome on WINDOWS (60e0cb59aabb66b08845ba2dc21844bf)] -> xpath: //button[contains(text(),'Add Customer')]]
2020-04-27 23:04:500 INFO  AddCustomerPage :30 -  Enter first name: Severus49 in the field [[ChromeDriver: chrome on WINDOWS (60e0cb59aabb66b08845ba2dc21844bf)] -> xpath: //input[@placeholder='First Name']]
2020-04-27 23:04:701 INFO  AddCustomerPage :37 -  Enter last name: Snape in the field [[ChromeDriver: chrome on WINDOWS (60e0cb59aabb66b08845ba2dc21844bf)] -> xpath: //input[@placeholder='Last Name']]
2020-04-27 23:04:936 INFO  AddCustomerPage :44 -  Enter postcode: HG3 14WB in the field [[ChromeDriver: chrome on WINDOWS (60e0cb59aabb66b08845ba2dc21844bf)] -> xpath: //input[@placeholder='Post Code']]
2020-04-27 23:04:203 INFO  BankManagerLoginPage :26 -  Click on AddCustomer tab: [[ChromeDriver: chrome on WINDOWS (60e0cb59aabb66b08845ba2dc21844bf)] -> xpath: //button[contains(text(),'Add Customer')]]
2020-04-27 23:04:516 INFO  AddCustomerPage :55 -  Click on AddCustomer button: [[ChromeDriver: chrome on WINDOWS (60e0cb59aabb66b08845ba2dc21844bf)] -> css selector: button.btn.btn-default]
2020-04-27 23:04:770 INFO  BankManagerLoginPage :40 -  Click on Customer tab: [[ChromeDriver: chrome on WINDOWS (60e0cb59aabb66b08845ba2dc21844bf)] -> xpath: //button[contains(text(),'Customers')]]
2020-04-27 23:04:574 INFO  CustomersPage :23 -  Seacrch CustomerName: Severus in the field [[ChromeDriver: chrome on WINDOWS (60e0cb59aabb66b08845ba2dc21844bf)] -> xpath: //input[@placeholder='Search Customer']]
2020-04-27 23:04:206 INFO  CustomersPage :31 -  Click on Deleter button: Proxy element for: DefaultElementLocator 'By.xpath: //button[contains(text(),'Delete')]'
2020-04-27 23:04:762 INFO  BrowserSelector :21 - Chrome Browser Selected
2020-04-27 23:04:472 INFO  HomePage :35 -  Click on BankManagerLogin tab: [[ChromeDriver: chrome on WINDOWS (53fb977749b547352d09048a30d9226e)] -> xpath: //button[contains(text(),'Bank Manager Login')]]
2020-04-27 23:04:10 INFO  BankManagerLoginPage :26 -  Click on AddCustomer tab: [[ChromeDriver: chrome on WINDOWS (53fb977749b547352d09048a30d9226e)] -> xpath: //button[contains(text(),'Add Customer')]]
2020-04-27 23:04:151 INFO  AddCustomerPage :30 -  Enter first name: Severus93 in the field [[ChromeDriver: chrome on WINDOWS (53fb977749b547352d09048a30d9226e)] -> xpath: //input[@placeholder='First Name']]
2020-04-27 23:04:388 INFO  AddCustomerPage :37 -  Enter last name: Snape in the field [[ChromeDriver: chrome on WINDOWS (53fb977749b547352d09048a30d9226e)] -> xpath: //input[@placeholder='Last Name']]
2020-04-27 23:04:624 INFO  AddCustomerPage :44 -  Enter postcode: HG3 14WB in the field [[ChromeDriver: chrome on WINDOWS (53fb977749b547352d09048a30d9226e)] -> xpath: //input[@placeholder='Post Code']]
2020-04-27 23:04:854 INFO  BankManagerLoginPage :26 -  Click on AddCustomer tab: [[ChromeDriver: chrome on WINDOWS (53fb977749b547352d09048a30d9226e)] -> xpath: //button[contains(text(),'Add Customer')]]
2020-04-27 23:04:587 INFO  AddCustomerPage :55 -  Click on AddCustomer button: [[ChromeDriver: chrome on WINDOWS (53fb977749b547352d09048a30d9226e)] -> css selector: button.btn.btn-default]
2020-04-27 23:04:756 INFO  BankManagerLoginPage :33 -  Click on OpenAccount tab: [[ChromeDriver: chrome on WINDOWS (53fb977749b547352d09048a30d9226e)] -> xpath: //button[contains(text(),'Open Account')]]
2020-04-27 23:04:888 INFO  BrowserSelector :21 - Chrome Browser Selected
2020-04-27 23:04:678 INFO  HomePage :35 -  Click on BankManagerLogin tab: [[ChromeDriver: chrome on WINDOWS (33ed777eb8303afa527e5da131eadb81)] -> xpath: //button[contains(text(),'Bank Manager Login')]]
2020-04-27 23:04:255 INFO  BankManagerLoginPage :26 -  Click on AddCustomer tab: [[ChromeDriver: chrome on WINDOWS (33ed777eb8303afa527e5da131eadb81)] -> xpath: //button[contains(text(),'Add Customer')]]
2020-04-27 23:04:596 INFO  AddCustomerPage :30 -  Enter first name: Severus59 in the field [[ChromeDriver: chrome on WINDOWS (33ed777eb8303afa527e5da131eadb81)] -> xpath: //input[@placeholder='First Name']]
2020-04-27 23:04:907 INFO  AddCustomerPage :37 -  Enter last name: Snape in the field [[ChromeDriver: chrome on WINDOWS (33ed777eb8303afa527e5da131eadb81)] -> xpath: //input[@placeholder='Last Name']]
2020-04-27 23:04:418 INFO  AddCustomerPage :44 -  Enter postcode: HG3 14WB in the field [[ChromeDriver: chrome on WINDOWS (33ed777eb8303afa527e5da131eadb81)] -> xpath: //input[@placeholder='Post Code']]
2020-04-27 23:04:656 INFO  BankManagerLoginPage :26 -  Click on AddCustomer tab: [[ChromeDriver: chrome on WINDOWS (33ed777eb8303afa527e5da131eadb81)] -> xpath: //button[contains(text(),'Add Customer')]]
2020-04-27 23:04:886 INFO  AddCustomerPage :55 -  Click on AddCustomer button: [[ChromeDriver: chrome on WINDOWS (33ed777eb8303afa527e5da131eadb81)] -> css selector: button.btn.btn-default]
2020-04-27 23:04:96 INFO  BankManagerLoginPage :40 -  Click on Customer tab: [[ChromeDriver: chrome on WINDOWS (33ed777eb8303afa527e5da131eadb81)] -> xpath: //button[contains(text(),'Customers')]]
2020-04-27 23:04:198 INFO  CustomersPage :23 -  Seacrch CustomerName: Severus in the field [[ChromeDriver: chrome on WINDOWS (33ed777eb8303afa527e5da131eadb81)] -> xpath: //input[@placeholder='Search Customer']]
2020-04-27 23:04:874 INFO  CustomersPage :31 -  Click on Deleter button: [[ChromeDriver: chrome on WINDOWS (33ed777eb8303afa527e5da131eadb81)] -> xpath: //button[contains(text(),'Delete')]]
2020-04-27 23:04:972 INFO  BrowserSelector :21 - Chrome Browser Selected
2020-04-27 23:04:322 INFO  HomePage :35 -  Click on BankManagerLogin tab: [[ChromeDriver: chrome on WINDOWS (0f5193e5064428fcc01a2c64df43efce)] -> xpath: //button[contains(text(),'Bank Manager Login')]]
2020-04-27 23:04:800 INFO  BankManagerLoginPage :26 -  Click on AddCustomer tab: [[ChromeDriver: chrome on WINDOWS (0f5193e5064428fcc01a2c64df43efce)] -> xpath: //button[contains(text(),'Add Customer')]]
2020-04-27 23:04:372 INFO  AddCustomerPage :30 -  Enter first name: Severus53 in the field [[ChromeDriver: chrome on WINDOWS (0f5193e5064428fcc01a2c64df43efce)] -> xpath: //input[@placeholder='First Name']]
2020-04-27 23:04:588 INFO  AddCustomerPage :37 -  Enter last name: Snape in the field [[ChromeDriver: chrome on WINDOWS (0f5193e5064428fcc01a2c64df43efce)] -> xpath: //input[@placeholder='Last Name']]
2020-04-27 23:04:842 INFO  AddCustomerPage :44 -  Enter postcode: HG3 14WB in the field [[ChromeDriver: chrome on WINDOWS (0f5193e5064428fcc01a2c64df43efce)] -> xpath: //input[@placeholder='Post Code']]
2020-04-27 23:04:08 INFO  BankManagerLoginPage :26 -  Click on AddCustomer tab: [[ChromeDriver: chrome on WINDOWS (0f5193e5064428fcc01a2c64df43efce)] -> xpath: //button[contains(text(),'Add Customer')]]
2020-04-27 23:04:285 INFO  AddCustomerPage :55 -  Click on AddCustomer button: [[ChromeDriver: chrome on WINDOWS (0f5193e5064428fcc01a2c64df43efce)] -> css selector: button.btn.btn-default]
2020-04-27 23:04:502 INFO  BankManagerLoginPage :33 -  Click on OpenAccount tab: [[ChromeDriver: chrome on WINDOWS (0f5193e5064428fcc01a2c64df43efce)] -> xpath: //button[contains(text(),'Open Account')]]
2020-04-27 23:04:133 INFO  OpenAccountPage :28 -  Search for Customer Severus from the drop down [[ChromeDriver: chrome on WINDOWS (0f5193e5064428fcc01a2c64df43efce)] -> id: userSelect]
2020-04-27 23:04:845 INFO  OpenAccountPage :35 -  Select Currency from drop down: [[ChromeDriver: chrome on WINDOWS (0f5193e5064428fcc01a2c64df43efce)] -> id: currency]
2020-04-27 23:04:170 INFO  OpenAccountPage :46 -  Click on Process button: [[ChromeDriver: chrome on WINDOWS (0f5193e5064428fcc01a2c64df43efce)] -> xpath: //button[contains(text(),'Process')]]
2020-04-27 23:04:490 INFO  BrowserSelector :21 - Chrome Browser Selected
2020-04-27 23:04:549 INFO  HomePage :35 -  Click on BankManagerLogin tab: [[ChromeDriver: chrome on WINDOWS (bc9e248431c684f3400de89dacc20f60)] -> xpath: //button[contains(text(),'Bank Manager Login')]]
2020-04-27 23:04:104 INFO  BankManagerLoginPage :26 -  Click on AddCustomer tab: [[ChromeDriver: chrome on WINDOWS (bc9e248431c684f3400de89dacc20f60)] -> xpath: //button[contains(text(),'Add Customer')]]
2020-04-27 23:04:631 INFO  AddCustomerPage :30 -  Enter first name: Severus31 in the field [[ChromeDriver: chrome on WINDOWS (bc9e248431c684f3400de89dacc20f60)] -> xpath: //input[@placeholder='First Name']]
2020-04-27 23:04:851 INFO  AddCustomerPage :37 -  Enter last name: Snape in the field [[ChromeDriver: chrome on WINDOWS (bc9e248431c684f3400de89dacc20f60)] -> xpath: //input[@placeholder='Last Name']]
2020-04-27 23:04:162 INFO  AddCustomerPage :44 -  Enter postcode: HG3 14WB in the field [[ChromeDriver: chrome on WINDOWS (bc9e248431c684f3400de89dacc20f60)] -> xpath: //input[@placeholder='Post Code']]
2020-04-27 23:04:430 INFO  BankManagerLoginPage :26 -  Click on AddCustomer tab: [[ChromeDriver: chrome on WINDOWS (bc9e248431c684f3400de89dacc20f60)] -> xpath: //button[contains(text(),'Add Customer')]]
2020-04-27 23:04:650 INFO  AddCustomerPage :55 -  Click on AddCustomer button: [[ChromeDriver: chrome on WINDOWS (bc9e248431c684f3400de89dacc20f60)] -> css selector: button.btn.btn-default]
2020-04-27 23:04:884 INFO  BankManagerLoginPage :40 -  Click on Customer tab: [[ChromeDriver: chrome on WINDOWS (bc9e248431c684f3400de89dacc20f60)] -> xpath: //button[contains(text(),'Customers')]]
2020-04-27 23:04:728 INFO  CustomersPage :23 -  Seacrch CustomerName: Severus in the field [[ChromeDriver: chrome on WINDOWS (bc9e248431c684f3400de89dacc20f60)] -> xpath: //input[@placeholder='Search Customer']]
2020-04-27 23:04:668 INFO  CustomersPage :31 -  Click on Deleter button: [[ChromeDriver: chrome on WINDOWS (bc9e248431c684f3400de89dacc20f60)] -> xpath: //button[contains(text(),'Delete')]]
2020-04-28 00:04:130 INFO  BrowserSelector :21 - Chrome Browser Selected
2020-04-28 00:04:654 INFO  HomePage :35 -  Click on BankManagerLogin tab: [[ChromeDriver: chrome on WINDOWS (6ad67168dbfb61a7dcd92b7b08b7fe33)] -> xpath: //button[contains(text(),'Bank Manager Login')]]
2020-04-28 00:04:156 INFO  BankManagerLoginPage :26 -  Click on AddCustomer tab: [[ChromeDriver: chrome on WINDOWS (6ad67168dbfb61a7dcd92b7b08b7fe33)] -> xpath: //button[contains(text(),'Add Customer')]]
2020-04-28 00:04:674 INFO  AddCustomerPage :30 -  Enter first name: Severus30 in the field [[ChromeDriver: chrome on WINDOWS (6ad67168dbfb61a7dcd92b7b08b7fe33)] -> xpath: //input[@placeholder='First Name']]
2020-04-28 00:04:907 INFO  AddCustomerPage :37 -  Enter last name: Snape in the field [[ChromeDriver: chrome on WINDOWS (6ad67168dbfb61a7dcd92b7b08b7fe33)] -> xpath: //input[@placeholder='Last Name']]
2020-04-28 00:04:269 INFO  AddCustomerPage :44 -  Enter postcode: HG3 14WB in the field [[ChromeDriver: chrome on WINDOWS (6ad67168dbfb61a7dcd92b7b08b7fe33)] -> xpath: //input[@placeholder='Post Code']]
2020-04-28 00:04:454 INFO  BankManagerLoginPage :26 -  Click on AddCustomer tab: [[ChromeDriver: chrome on WINDOWS (6ad67168dbfb61a7dcd92b7b08b7fe33)] -> xpath: //button[contains(text(),'Add Customer')]]
2020-04-28 00:04:775 INFO  AddCustomerPage :55 -  Click on AddCustomer button: [[ChromeDriver: chrome on WINDOWS (6ad67168dbfb61a7dcd92b7b08b7fe33)] -> css selector: button.btn.btn-default]
2020-04-28 00:04:996 INFO  BankManagerLoginPage :33 -  Click on OpenAccount tab: [[ChromeDriver: chrome on WINDOWS (6ad67168dbfb61a7dcd92b7b08b7fe33)] -> xpath: //button[contains(text(),'Open Account')]]
2020-04-28 00:04:333 INFO  OpenAccountPage :36 -  Select Currency from drop down: [[ChromeDriver: chrome on WINDOWS (6ad67168dbfb61a7dcd92b7b08b7fe33)] -> id: currency]
2020-04-28 00:04:583 INFO  OpenAccountPage :47 -  Click on Process button: [[ChromeDriver: chrome on WINDOWS (6ad67168dbfb61a7dcd92b7b08b7fe33)] -> xpath: //button[contains(text(),'Process')]]
2020-04-28 00:04:799 INFO  BrowserSelector :21 - Chrome Browser Selected
2020-04-28 00:04:484 INFO  HomePage :35 -  Click on BankManagerLogin tab: [[ChromeDriver: chrome on WINDOWS (73fc9edec8fee402ddd00165446986e1)] -> xpath: //button[contains(text(),'Bank Manager Login')]]
2020-04-28 00:04:79 INFO  BankManagerLoginPage :26 -  Click on AddCustomer tab: [[ChromeDriver: chrome on WINDOWS (73fc9edec8fee402ddd00165446986e1)] -> xpath: //button[contains(text(),'Add Customer')]]
2020-04-28 00:04:703 INFO  AddCustomerPage :30 -  Enter first name: Severus30 in the field [[ChromeDriver: chrome on WINDOWS (73fc9edec8fee402ddd00165446986e1)] -> xpath: //input[@placeholder='First Name']]
2020-04-28 00:04:88 INFO  AddCustomerPage :37 -  Enter last name: Snape in the field [[ChromeDriver: chrome on WINDOWS (73fc9edec8fee402ddd00165446986e1)] -> xpath: //input[@placeholder='Last Name']]
2020-04-28 00:04:512 INFO  AddCustomerPage :44 -  Enter postcode: HG3 14WB in the field [[ChromeDriver: chrome on WINDOWS (73fc9edec8fee402ddd00165446986e1)] -> xpath: //input[@placeholder='Post Code']]
2020-04-28 00:04:681 INFO  BankManagerLoginPage :26 -  Click on AddCustomer tab: [[ChromeDriver: chrome on WINDOWS (73fc9edec8fee402ddd00165446986e1)] -> xpath: //button[contains(text(),'Add Customer')]]
2020-04-28 00:04:258 INFO  AddCustomerPage :55 -  Click on AddCustomer button: [[ChromeDriver: chrome on WINDOWS (73fc9edec8fee402ddd00165446986e1)] -> css selector: button.btn.btn-default]
2020-04-28 00:04:431 INFO  BankManagerLoginPage :40 -  Click on Customer tab: [[ChromeDriver: chrome on WINDOWS (73fc9edec8fee402ddd00165446986e1)] -> xpath: //button[contains(text(),'Customers')]]
2020-04-28 00:04:953 INFO  CustomersPage :23 -  Seacrch CustomerName: Severus in the field [[ChromeDriver: chrome on WINDOWS (73fc9edec8fee402ddd00165446986e1)] -> xpath: //input[@placeholder='Search Customer']]
2020-04-28 00:04:116 INFO  CustomersPage :31 -  Click on Deleter button: Proxy element for: DefaultElementLocator 'By.xpath: //button[contains(text(),'Delete')]'
2020-04-28 00:04:817 INFO  BrowserSelector :21 - Chrome Browser Selected
2020-04-28 00:04:852 INFO  HomePage :35 -  Click on BankManagerLogin tab: [[ChromeDriver: chrome on WINDOWS (b99aaf1c273ff4ab2b98c740ecaad2ae)] -> xpath: //button[contains(text(),'Bank Manager Login')]]
2020-04-28 00:04:401 INFO  BankManagerLoginPage :26 -  Click on AddCustomer tab: [[ChromeDriver: chrome on WINDOWS (b99aaf1c273ff4ab2b98c740ecaad2ae)] -> xpath: //button[contains(text(),'Add Customer')]]
